date,region,country,product,quantity,unit_price,revenue,material_cost,shipping_cost,total_cost,margin
2024-04-24,Europe,UK,Widget B,15,59.07,886.05,239.68,85.65,325.33,560.72
2024-03-30,South America,Brazil,Widget A,6,81.22,487.32,171.08,15.78,186.86,300.46
2024-07-22,South America,Brazil,Gadget X,38,97.89,3719.82,1576.68,365.63,1942.31,1777.51
2024-06-12,South America,Argentina,Widget C,10,80.29,802.9,323.33,31.47,354.8,448.1
2025-01-24,Europe,UK,Widget C,39,94.07,3668.73,949.06,261.76,1210.82,2457.91
2024-05-07,South America,Brazil,Gadget Y,19,252.23,4792.37,1790.93,515.44,2306.37,2486.0
2024-07-15,Europe,Germany,Widget B,50,101.03,5051.5,1343.49,257.38,1600.87,3450.63
2024-04-13,South America,Argentina,Gadget X,41,253.55,10395.55,2937.06,644.26,3581.32,6814.23
2024-09-30,Europe,France,Gadget Y,47,88.55,4161.85,1425.23,225.97,1651.2,2510.65
2024-08-12,Asia,India,Widget B,3,245.41,736.23,243.13,26.47,269.6,466.63
2024-11-18,North America,Canada,Gadget X,42,148.48,6236.16,1889.41,325.51,2214.92,4021.24
2024-09-26,South America,Argentina,Widget C,15,299.25,4488.75,1246.37,334.04,1580.41,2908.34
2024-02-18,Europe,France,Widget B,44,138.2,6080.8,1597.46,391.27,1988.73,4092.07
2025-04-24,Asia,China,Widget A,44,221.8,9759.2,3770.39,764.41,4534.8,5224.4
2024-09-30,Asia,India,Widget C,28,64.28,1799.84,451.13,170.96,622.09,1177.75
2024-09-26,North America,USA,Widget C,41,162.15,6648.15,1926.52,423.17,2349.69,4298.46
2024-06-14,Europe,UK,Gadget X,2,51.32,102.64,33.11,12.18,45.29,57.35
2024-11-10,North America,USA,Widget B,37,285.15,10550.55,2818.38,777.99,3596.37,6954.18
2024-03-11,North America,USA,Gadget X,36,66.24,2384.64,847.82,201.72,1049.54,1335.1
2024-08-04,North America,Canada,Gadget X,43,201.97,8684.71,2932.13,665.09,3597.22,5087.49
2024-05-03,North America,USA,Widget A,22,25.89,569.58,205.5,47.25,252.75,316.83
2024-01-08,Europe,Germany,Widget B,5,273.52,1367.6,577.03,49.75,626.78,740.82
2024-08-31,Asia,China,Gadget X,14,170.99,2393.86,944.79,261.92,1206.71,1187.15
2025-04-29,North America,Canada,Gadget X,13,46.41,603.33,230.35,37.34,267.69,335.64
2025-02-24,South America,Brazil,Widget A,4,132.73,530.92,168.76,57.1,225.86,305.06
2024-09-11,North America,USA,Gadget Y,29,59.25,1718.25,492.62,123.09,615.71,1102.54
2024-03-18,South America,Brazil,Widget A,42,299.8,12591.6,5253.28,1475.86,6729.14,5862.46
2024-08-30,North America,Canada,Gadget X,31,79.85,2475.35,817.38,87.32,904.7,1570.65
2025-01-23,Europe,Spain,Widget C,30,99.87,2996.1,1166.44,286.86,1453.3,1542.8
2025-05-13,North America,USA,Widget C,14,291.24,4077.36,1491.65,321.29,1812.94,2264.42
2024-11-17,Europe,Germany,Gadget Y,31,160.8,4984.8,2096.33,220.17,2316.5,2668.3
2025-06-04,Europe,France,Widget A,39,39.03,1522.17,642.91,100.98,743.89,778.28
2024-09-09,Europe,Germany,Gadget X,43,183.43,7887.49,2796.56,900.15,3696.71,4190.78
2024-07-28,Asia,India,Widget C,26,56.65,1472.9,558.38,104.8,663.18,809.72
2024-03-15,Europe,Spain,Gadget Y,37,298.91,11059.67,2926.97,543.96,3470.93,7588.74
2024-09-28,North America,Canada,Widget A,16,123.47,1975.52,556.21,207.5,763.71,1211.81
2024-11-05,Europe,UK,Widget A,9,94.05,846.45,362.23,81.95,444.18,402.27
2024-06-08,Asia,Japan,Gadget Y,14,220.93,3093.02,899.2,269.34,1168.54,1924.48
2024-09-27,South America,Argentina,Widget A,6,197.6,1185.6,493.06,40.27,533.33,652.27
2024-12-07,North America,Canada,Widget B,48,143.71,6898.08,2698.07,555.17,3253.24,3644.84
2024-04-24,Europe,France,Gadget Y,3,253.69,761.07,278.93,32.98,311.91,449.16
2024-05-10,Europe,UK,Widget C,3,271.7,815.1,238.02,42.76,280.78,534.32
2024-04-15,Asia,China,Gadget X,40,229.85,9194.0,4000.79,471.71,4472.5,4721.5
2024-06-15,North America,Canada,Widget A,12,226.24,2714.88,859.09,308.88,1167.97,1546.91
2024-09-11,Asia,India,Widget A,25,264.21,6605.25,2785.56,330.39,3115.95,3489.3
2025-04-16,Asia,Japan,Widget B,15,26.63,399.45,115.29,23.78,139.07,260.38
2024-03-12,Asia,Japan,Gadget Y,26,210.27,5467.02,2289.22,326.95,2616.17,2850.85
2024-01-29,Europe,UK,Widget B,38,289.51,11001.38,3334.44,437.37,3771.81,7229.57
2025-03-20,Asia,China,Widget C,28,189.74,5312.72,1871.59,343.56,2215.15,3097.57
2024-07-13,Asia,India,Gadget X,1,165.58,165.58,68.1,15.2,83.3,82.28
2024-07-20,Asia,Japan,Widget A,43,277.82,11946.26,4475.44,1071.64,5547.08,6399.18
2024-05-07,Asia,China,Widget C,43,134.35,5777.05,1909.2,327.03,2236.23,3540.82
2024-05-10,North America,Canada,Gadget X,44,229.48,10097.12,2875.71,820.08,3695.79,6401.33
2025-02-19,Europe,UK,Widget C,14,140.37,1965.18,719.25,174.75,894.0,1071.18
2025-04-21,South America,Argentina,Widget B,33,152.49,5032.17,2165.02,511.48,2676.5,2355.67
